2025-04-20 16:51:22,445 - DEBUG - font_manager.py - _findfont_cached - 1423 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\BOD_B.TTF', name='Bodoni MT', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.05
2025-04-20 16:51:22,445 - DEBUG - font_manager.py - _findfont_cached - 1423 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\Candarali.ttf', name='Candara', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.335
2025-04-20 16:51:22,445 - DEBUG - font_manager.py - _findfont_cached - 1423 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\monbaiti.ttf', name='Mongolian Baiti', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.335
2025-04-20 16:51:22,445 - DEBUG - font_manager.py - _findfont_cached - 1423 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\Dengl.ttf', name='DengXian', style='normal', variant='normal', weight=300, stretch='normal', size='scalable')) = 11.43
2025-04-20 16:51:22,445 - DEBUG - font_manager.py - _findfont_cached - 1423 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\taileb.ttf', name='Microsoft Tai Le', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.05
2025-04-20 16:51:22,446 - DEBUG - font_manager.py - _findfont_cached - 1423 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\GOTHICI.TTF', name='Century Gothic', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.335
2025-04-20 16:51:22,446 - DEBUG - font_manager.py - _findfont_cached - 1423 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\calibri.ttf', name='Calibri', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.335
2025-04-20 16:51:22,446 - DEBUG - font_manager.py - _findfont_cached - 1423 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\GOUDOSB.TTF', name='Goudy Old Style', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.05
2025-04-20 16:51:22,446 - DEBUG - font_manager.py - _findfont_cached - 1423 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\segoeprb.ttf', name='Segoe Print', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.05
2025-04-20 16:51:22,446 - DEBUG - font_manager.py - _findfont_cached - 1423 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\GIL_____.TTF', name='Gill Sans MT', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.335
2025-04-20 16:51:22,446 - DEBUG - font_manager.py - _findfont_cached - 1423 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\TCCEB.TTF', name='Tw Cen MT Condensed Extra Bold', style='normal', variant='normal', weight=400, stretch='condensed', size='scalable')) = 11.535
2025-04-20 16:51:22,447 - DEBUG - font_manager.py - _findfont_cached - 1423 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\LEELAWDB.TTF', name='Leelawadee', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.05
2025-04-20 16:51:22,447 - DEBUG - font_manager.py - _findfont_cached - 1423 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\GOTHICBI.TTF', name='Century Gothic', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.05
2025-04-20 16:51:22,447 - DEBUG - font_manager.py - _findfont_cached - 1423 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\BOD_I.TTF', name='Bodoni MT', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.335
2025-04-20 16:51:22,447 - DEBUG - font_manager.py - _findfont_cached - 1423 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\FRABK.TTF', name='Franklin Gothic Book', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.335
2025-04-20 16:51:22,447 - DEBUG - font_manager.py - _findfont_cached - 1423 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\gadugib.ttf', name='Gadugi', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.05
2025-04-20 16:51:22,448 - DEBUG - font_manager.py - _findfont_cached - 1423 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\SitkaVF-Italic.ttf', name='Sitka', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.335
2025-04-20 16:51:22,448 - DEBUG - font_manager.py - _findfont_cached - 1423 - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\MOD20.TTF', name='Modern No. 20', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.335
